¿Cuál es el enfoque principal de Django Tutorial Parte 3?;Crear la interfaz pública (Vistas) y la presentación (Plantillas) de la aplicación web.
Django: ¿Qué es una "Vista" (View)?;Una función/método Python que recibe una petición web (request) y devuelve una respuesta web (HttpResponse), manejando la lógica para una URL específica.
¿Qué recibe una función de vista Django como primer argumento?;El objeto de la petición HTTP, convencionalmente llamado request.
¿Qué debe devolver una vista Django como mínimo (o qué debe lanzar)?;Debe devolver un objeto HttpResponse o lanzar una excepción (como Http404).
Además de devolver HttpResponse/lanzar excepción, ¿qué más puede hacer una vista Django?;Cualquier lógica Python: leer/escribir en la DB, usar plantillas, generar PDFs, interactuar con APIs externas, etc.
Django: ¿Qué es una "URLconf"?;Un módulo Python que mapea patrones de URL a funciones de vista específicas.
¿Cuál es el propósito principal de una URLconf?;Actuar como un "despachador" (dispatcher), dirigiendo las peticiones URL entrantes a la vista correcta según el patrón coincidente.
¿En qué archivo se define la URLconf raíz (ROOT_URLCONF) del proyecto?;Por defecto, en mysite/urls.py (el nombre del directorio del proyecto puede variar).
Django: ¿Qué es un "Patrón de URL" (URL Pattern)?;La forma general de una URL (ej: /polls/<int:pk>/) que Django busca en las URLconfs para encontrar una coincidencia.
¿Con qué función se definen principalmente los patrones de URL en los archivos urls.py?;Con la función path().
Cuando Django procesa una URL como /polls/34/results/, ¿cómo usa las URLconfs (raíz y de app) para encontrar la vista?;1. Compara con ROOT_URLCONF (mysite/urls.py).<br>2. Encuentra path('polls/', include('polls.urls')).<br>3. "Corta" polls/ y pasa 34/results/ a polls.urls.<br>4. Compara con polls.urls hasta encontrar una coincidencia (ej: <int:question_id>/results/).
En un patrón path('<int:question_id>/', views.detail, ...) ¿qué hace específicamente la parte <int:question_id>?;1. Captura la parte de la URL que coincide (ej: "34").<br>2. Usa el convertidor int para validar y convertir el texto capturado a un entero.<br>3. Pasa el valor convertido a la vista.
¿Cómo se pasan los valores capturados de la URL (ej: question_id=34) a la función de vista?;Como argumentos de palabra clave (keyword arguments) a la función de vista. Ej: views.detail(request, question_id=34).
Django Views: Escribe una vista detail simple que reciba request y question_id y devuelva un HttpResponse mostrando el ID.;def detail(request, question_id):<br>    return HttpResponse(f"Estás viendo la pregunta {question_id}.")
